2024-02-15T02:47:55.470138Z [warning  ] No state was found, complete import.
2024-02-15T02:48:02.377228Z [info     ] 2024-02-14 23:48:02,376 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03542041778564453, "tags": {"stream": "information_schema-constraint_column_usage", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.377990Z [info     ] 2024-02-14 23:48:02,377 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 27, "tags": {"stream": "information_schema-constraint_column_usage", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.378624Z [info     ] 2024-02-14 23:48:02,378 | INFO     | tap-postgres.information_schema-constraint_table_usage | Beginning full_table sync of 'information_schema-constraint_table_usage'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.379135Z [info     ] 2024-02-14 23:48:02,378 | INFO     | tap-postgres.information_schema-constraint_table_usage | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.428021Z [info     ] 2024-02-14 23:48:02,421 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0427393913269043, "tags": {"stream": "information_schema-constraint_table_usage", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.428602Z [info     ] 2024-02-14 23:48:02,421 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 25, "tags": {"stream": "information_schema-constraint_table_usage", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.429052Z [info     ] 2024-02-14 23:48:02,422 | INFO     | tap-postgres.information_schema-data_type_privileges | Beginning full_table sync of 'information_schema-data_type_privileges'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.429472Z [info     ] 2024-02-14 23:48:02,422 | INFO     | tap-postgres.information_schema-data_type_privileges | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:04.796667Z [info     ] 2024-02-14 23:48:04,796 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 2.3724782466888428, "tags": {"stream": "information_schema-data_type_privileges", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:04.797298Z [info     ] 2024-02-14 23:48:04,796 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 10719, "tags": {"stream": "information_schema-data_type_privileges", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:04.797975Z [info     ] 2024-02-14 23:48:04,797 | INFO     | tap-postgres.information_schema-domain_constraints | Beginning full_table sync of 'information_schema-domain_constraints'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:04.798460Z [info     ] 2024-02-14 23:48:04,797 | INFO     | tap-postgres.information_schema-domain_constraints | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
